recid,NUMERO,TAREA,CATEGORY,SUBCATEGORY,COMPANY,INICIO_FALLA,CIERRE_FALLA,TIEMPO_TOTAL,COUNTRY,TG_REGION,LOCATION_FULL_NAME,OPENED_BY,ASSIGN_DATE,ASSIGNMENT,ASSIGN_DEPT,GRUPO_ASIGNACION,ASSIGNED_TO,BRIEF_DESCRIPTION,PROBLEM_TYPE,PRODUCT_TYPE,INICIO_AFECTACION,FIN_AFECTACION,DESC_FALLA,SEVERITY,TG_CANTIDAD_DSLAM,TG_SEVERIDAD,PROBLEM_STATUS,RESOLVED_GROUP,CLOSED_BY,RESOLUTION_CODE,RES_ANAL_CODE,STATUS,TG_CLIENTEEMPRESARIAL,NOMBRE_WO,INICIO_WO,FIN_WO,CLOSE_TIME,RESOLUCION,TG_CANT_CLIENTES_AFECTADOS,TG_CANTIDAD_CELDAS,Latitud_del_corte_de_FO,Longitud_del_corte_de_FO,Tipo,Falla_de_Fibra_Óptica,Reparación_Principal_FO,Reparación_específica_FO,Tramo_de_FO,Tramo_sin_Documentar
1,F5265748,F5265748-002,TRANSMISION,FIBRA OPTICA,TELGUA,25/10/2023 15:26:37,07/05/2024 11:03:54,4675.62,Guatemala,CENTRAL,ESCUINTLA UR,luis.e.gonzalez,02/05/2024 21:16:32,GT - F.O MOVIL,WO - CCR GT,,mynor.adqui,SEÑAL DEGRADADA EN STM-64 ENTRE CENTRAL CENTRO Y ESCUINTLA AC2,INTERMITENCIA DEL SERVICIO,FIBRA INTERMITENTE,25/10/2023 15:26:35,07/05/2024 05:42:27,SEÑAL DEGRADADA EN STM-64 ENTRE CENTRAL CENTRO Y ESCUINTLA AC2,3,0,Falla sin Afectación,Closed,GT - F.O MOVIL,diego.taguite,ACCIDENTE Y OTRAS CAUSAS,FIBRA OPTICA,closed,f,,,,07-MAY-24,"SE COMUNICA MARCO TULIO PEEZ Y JULIO LOPEZ, INFORMAN QUE SE HACE CERTIFICACION DE NUEVA RUTA ENTRE CELNTRAL CENTRO TIVOLI Y REFORMITA, SE LOCALIZA NUEVA RUTA, LA CERTIFICACION INDICA QUE NO HAY EVENTO",0,0,14.460544,-90579364,ULTIMA MILLA,SI,"3.CABLE FO CORTADO, DAÑO O ESTIRAMIENTO DEL CABLE FO TRONCA",3.1 INSTALACION DE CABLE DE FO AOTV DE 6 FO,CC_DUKE_GT_CENTRAL_ZONA_14,
2,F5296274,F5296274-001,DATOS,SWITCH,TELGUA,17/11/2023 12:57:00,23/05/2024 05:15:01,4504.3,Guatemala,ORIENTE,CHIQUIMULA UR,palencia.melvin,03/01/2024 20:01:23,FRONT OFFICE,WO - CCR GT,WO - UFINET,cindy.depaz,ALTA ATENUACIÓN EN ENLACE IP ENTRE NE40E - CHIQUIMULA-PE-M2 - 10.179.28.53 & ATN910C - CONCEPCIÓN,RENDIMIENTO,PUERTO FUERA DE SERVICIO,17/11/2023 12:56:59,23/05/2024 03:27:35,ALTA ATENUACIÓN EN ENLACE IP ENTRE NE40E - CHIQUIMULA-PE-M2 - 10.179.28.53 & ATN910C - CONCEPCIÓN LAS MINAS - 10.87.0.157,3,0,3,Closed,FRONT OFFICE,joser.marroquin,MEDIO DE TX_EMPALME O FUSION DE FIBRA OPTICA,FIBRA OPTICA,closed,f,,,,23-MAY-24,MARCEL HERNANDEZ INDICA QUE UFINET  REDUCE  DISTANCIA DE ENLACE A 48 KM ANTES ( 89 KM)  NIVELES DENTRO DE RANGO  VALIDA ALESSANDRO AJCHE  VM CULMINADA,0,0,NO BRINDA UFINET,NO BRINDA UFINET,BACKBONE,SI,"3.CABLE FO CORTADO, DAÑO O ESTIRAMIENTO DEL CABLE FO TRONCA",3.2 INSTALACION DE CABLE DE FO DUCTO DE 12 HASTA 72 FO,,
3,F5296838,F5296838-002,TRANSMISION,RADIOS SDH,TELGUA,18/11/2023 00:39:07,22/07/2024 16:20:02,5943.68,Guatemala,ORIENTE,MORALES UR,alejandro.rodriguez,22/07/2024 14:52:40,FRONT OFFICE,WO - CCR GT,WO - UFINET,roger.funes,|{RMSERVICESTATE=INSERVICE|RMOBJECTTYPE=PHYSICALLINK}|MEDIA FAILURE|01/SM04/IMORGTMON1T1H6N1/IAMAGTM,RENDIMIENTO,ESTACIONES REPETIDORAS EN SERVICIO CON CORTE DE ENERGIA INTERNA O EXTE,18/11/2023 00:38:49,22/07/2024 14:52:40,|{RMSERVICESTATE=INSERVICE|RMOBJECTTYPE=PHYSICALLINK}|MEDIA FAILURE|01/SM04/IMORGTMON1T1H6N1/IAMAGTMAN1T1H6N1_A14||{}|NOTACK|1 MESSAGE=ALARM_NOTIF[NOTIFICATIONTYPE=ALARMRAISE|CURRENTALARMID=7891971|FRIENDLYNAME=01/SM04/IMORGTMON1T1H6N1/IAMAGTMAN1T1H6N1_A14|NELOCATIONNAME=|EVENTTIME=20231117123614|EV,3,0,3,Closed,FRONT OFFICE,sergior.portillo,MEDIO DE TX_EMPALME O FUSION DE FIBRA OPTICA,FIBRA OPTICA,closed,f,,,,22-JUL-24,SE PROCEDE A CIERRE EN BASE A SOLICITUD DE COMENTARIO ANTERIOR DE DIEGO CAMO,0,0,0,0,BACKBONE,SI,5.CAUSAS NATURALES / DAÑO / ACCIDENTE / ROBO DE INFRAESTRUC,5.1 CAMBIO E INSTALACION DE POSTE DE MADERA C/HERRAJES,TRAMO NO DOCUMENTADO,
4,F5331986,F5331986-001,TRANSMISION,DWDM RED CENTROAMERICANA,TELGUA,17/12/2023 18:03:08,19/01/2024 15:38:48,789.59,Guatemala,OCCIDENTE,LA FLORESTA UR,luis.e.gonzalez,18/01/2024 19:32:48,FRONT OFFICE,WO - CCR GT,WO - UFINET,rodriguez.brayan,ALTA ATENUACION EN ENLACE DWDM SOLOLA - LA FLORESTA,CAIDA POTENCIAL,FALLA SECCION DWDM,17/12/2023 18:02:56,19/01/2024 14:12:10,ALTA ATENUACION EN ENLACE DWDM SOLOLA - LA FLORESTA,3,0,3,Closed,FRONT OFFICE,anthony.orellana,SINCRONIA,TRANSMISION,closed,f,,,,19-JAN-24,PERSONAL DE  UFINET  ATENDIO  ATENUCION  A  46300 DE  FLORESTA   HACIA  SOLOLA   DE  6.2 DB  CON  SE  CORRIGIO  ATENUACION  Y SE DEJA  EN SERVICIO  YF UNCIONANDO  CONFIRMA  FERNANDO  ESCOBAR DE  GEST,0,0,no se tiene datos  personal de  fibra  atendio la falla,no se tiene datos  personal de  fibra  atendio la falla,ACCESO,SI,1.DAÑO / ROBO DE MUFA O CIERRE FO / FAT /HUB BOX / NAP,1.1 CAMBIO E INSTALACION DE MUFA O CIERRE OPTICO/FAT/NAP/HUB,,
5,F5345327,F5345327-002,MOVIL,NODO B,TELGUA,31/12/2023 13:06:28,05/01/2024 17:11:49,124.09,Guatemala,ORIENTE,HIDROELECTRICA RENACE 1 XT CELDA,integracion_logcontrol,02/01/2024 08:35:56,WO - CCR GT,WO - CCR GT,,romeoe.luna,REMEDY: INC000042043891 31/12/2023 12:56:56 p.m. NODO B:UMTS CELL UNAVAILABLE,CAIDA TOTAL,NODO B FALLA EN EL MEDIO DE TX,31/12/2023 07:06:27,05/01/2024 17:11:39,"NODO B:UMTS CELL UNAVAILABLE
***** WO CREADA POR SIEU *****

 REGION:ORIENTE GTM 
NOMBRE DEL NODO:HIDROELECTRICA RENACE 1_XT 
IP_NODO:10.110.184.2

NeType: BSC6900 UMTS| NeLocation: | vendor: | neName: GTVLL1R| alarmName: UMTS Cell Unavailable| alarmLocation: Subrack No.=2, Slot No.=14, Subsystem No",3,0,2,Closed,WO - CCR GT,walfred.rubi,MEDIO DE TX_EMPALME O FUSION DE FIBRA OPTICA,FIBRA OPTICA,closed,f,,,,05-JAN-24,DIETER LEAL INDICA  QUE CORTE A 2 .38 KM  DE RENACE 1 HACIA RENACE EXP   POR LO QUE SE CORRE RESERVA Y SE REALIZAN 12 FUCIONES    RESTABLECIENDO SERVICIOS  SITIO OPERATIVO VALIDADO EN TEMIP  RENACE 1,0,1,SIN DATO POR FALTA DE COBERTURA DE LA CELDA DAÑO A 8 KM DE,SIN DATO POR FALTA DE COBERTURA DE LA CELDA DAÑO A 8 KM DE,ULTIMA MILLA,SI,2.HILOS FO ROTOS/ MAL ACOMODO DE HILOS EN BANDEJAS / TUBOS H,2.1 INTERVENCION A MUFA O CIERRE FO/NAP/HUB BOX EXISTENTE EN,WG6492U1900,
6,F5345549,F5345549-002,TRANSMISION,DWDM,TELGUA,31/12/2023 23:51:22,01/01/2024 06:12:07,6.35,Guatemala,ORIENTE,RIO DULCE UR,tmipuser,01/01/2024 00:06:26,FRONT OFFICE,WO - CCR GT,WO - CLAROFIBRAOPTICA,thomas.peliz,GT | Alarma: OSC_LOS | Descripcion: Loss of OSC interface input optical power | Equipo: GT_Rio Dulce | Puerto: 0-Poptun/Puerto Barrios-6-11AST2-1(RM1/TM1 Puerto Barrios)-OSC:1 Tipo de Equipo: OptiX OSN 9800 - Direccion IP: 10.210.4.250 Causa Probable: OSC_LOS is declared if the input power is lower than the OSC_LOS threshold. Descripcion de Alarma (ESP): Perdida de la potencia optica de entrada de la interfaz OSC Mnemonico: ILIVGTRD,CAIDA TOTAL,DWDM SIN PROTECCION,31/12/2023 23:43:16,01/01/2024 06:12:06,GT | Alarma: OSC_LOS | Descripcion: Loss of OSC interface input optical power | Equipo: GT_Rio Dulce | Puerto: 0-Poptun/Puerto Barrios-6-11AST2-1(RM1/TM1 Puerto Barrios)-OSC:1 Tipo de Equipo: OptiX OSN 9800 - Direccion IP: 10.210.4.250 Causa Probable: OSC_LOS is declared if the input power is lower,1,0,2,Closed,FRONT OFFICE,alexanderf.lopez,VANDALISMO,FIBRA OPTICA,closed,f,,,,01-JAN-24,"INFORMA JOSE SASO QUE SE ENCONTRO DAÑO POR BALAZO A 200MTS ENCONTRARON RESERVA DE 30MTS SE JALO PARA REALIZA UN EMPALME DE 12 FUSIONES, SE UTILIZO UNA MUFA, TRABAJARON EN SITIO JOSE SASO, JULIO ALDANA",0,1,15.518298,-88.825312,BACKBONE,SI,"3.CABLE FO CORTADO, DAÑO O ESTIRAMIENTO DEL CABLE FO TRONCA","3.4 INSTALACION DE CABLE FO AEREO FIG 8, DE 12 A 48 FO",,
7,F5345736,F5345736-003,TRANSMISION,FIBRA OPTICA,TELGUA,01/01/2024 07:25:12,01/01/2024 17:50:07,10.42,Guatemala,OCCIDENTE,LA FLORESTA UR,lopez.estefan,01/01/2024 11:01:33,FRONT OFFICE,WO - CCR GT,,mynor.adqui,PÉRDIDA DE SEÑAL ÓPTICA SMT-16 SAN MARCOS -- LA FLORESTA ANILLO 18,ENLACE FUERA DE SERVICIO,CORTE DE FIBRA,01/01/2024 07:25:08,01/01/2024 17:50:05,PÉRDIDA DE SEÑAL ÓPTICA SMT-16 SAN MARCOS -- LA FLORESTA ANILLO 18,1,0,2,Closed,FRONT OFFICE,bernie.cubur,REPARACION DE CABLE SUBMARINO,FIBRA OPTICA,closed,f,,,,01-JAN-24,"OSCAR RODAS INDICA QUE SE CORRIEGON 60 METROS DE CABLE DE 48 FIBRAS  SE INSTALA MUFA COMCON, SE REALIZA CAPADURA O SANGRIA A CABLE DE FIBRA DAÑO PARCIAL SE REALIZARON 24 FUSIONES  Y EL DAÑO FUE OCASIO",1,0,14.8976390,-91.6720640,BACKBONE,SI,"3.CABLE FO CORTADO, DAÑO O ESTIRAMIENTO DEL CABLE FO TRONCA","3.4 INSTALACION DE CABLE FO AEREO FIG 8, DE 12 A 48 FO",,
8,F5345936,F5345936-002,TRANSMISION,DWDM,TELGUA,01/01/2024 16:20:50,01/01/2024 20:21:06,4,Guatemala,ORIENTE,RIO HONDO UR,tmipuser,01/01/2024 18:23:38,FRONT OFFICE,WO - CCR GT,WO - UFINET,romeoe.luna,GT | Alarma: OSC_LOS | Descripcion: Loss of OSC interface input optical power | Equipo: Rio Hondo | Puerto: 0-Shelf0-1-F1ST2-1(RM1/TM1 Hacia Zacapa)-OSC:1 Tipo de Equipo: OptiX OSN 1800 - Direccion IP: -- Causa Probable: OSC_LOS is declared if the input power is lower than the OSC_LOS threshold. Descripcion de Alarma (ESP): Perdida de la potencia optica de entrada de la interfaz OSC Mnemonico: ZRHOGTRH,CAIDA TOTAL,DWDM SIN PROTECCION,01/01/2024 16:12:55,01/01/2024 20:17:25,GT | Alarma: OSC_LOS | Descripcion: Loss of OSC interface input optical power | Equipo: Rio Hondo | Puerto: 0-Shelf0-1-F1ST2-1(RM1/TM1 Hacia Zacapa)-OSC:1 Tipo de Equipo: OptiX OSN 1800 - Direccion IP: -- Causa Probable: OSC_LOS is declared if the input power is lower than the OSC_LOS threshold. Des,1,3,2,Closed,FRONT OFFICE,alexanderf.lopez,ACCIDENTE Y OTRAS CAUSAS,FIBRA OPTICA,closed,f,,,,01-JAN-24,SE CONFIRMA  CON  CARLOS  CHEL  DE  FO  TX  QUIEN  CONFIRMA QUE SE ENCUENTRA  EN SERVICIO  YF UNCIONANDO.,2,14,no se tiene datos  falla  por  ufinet,no se tiene datos  falla  por  ufinet,ACCESO,SI,"3.CABLE FO CORTADO, DAÑO O ESTIRAMIENTO DEL CABLE FO TRONCA",3.2 INSTALACION DE CABLE DE FO DUCTO DE 12 HASTA 72 FO,,
9,F5346083,F5346083-001,TRANSMISION,FIBRA OPTICA,TELGUA,01/01/2024 22:41:47,02/01/2024 13:04:34,14.38,Guatemala,METROPOLITANA,TORRE ZONA 08,luis.escobar,02/01/2024 02:23:26,FRONT OFFICE,WO - CCR GT,WO - CLAROFIBRAOPTICA,romeoe.luna,PERDIDA DE SEÑAL ÓPTICA A NIVEL DWDM XT  ZTE ENTRE QUETZALTENANGO M920 HACIA PALESTINA,ENLACE FUERA DE SERVICIO,CORTE DE FIBRA,01/01/2024 22:41:35,02/01/2024 13:02:53,PERDIDA DE SEÑAL ÓPTICA A NIVEL DWDM XT  ZTE ENTRE QUETZALTENANGO M920 HACIA PALESTINA,1,0,3,Closed,FRONT OFFICE,josep.aguilare,ACCIDENTE Y OTRAS CAUSAS,TRANSMISION,closed,f,,,,02-JAN-24,02/01/2024 13:02:53 GUATEMALA/CENTRO AMERICA (JOSE PABLO AGUILAR ESTRADA): *NOC REGIONAL* *CIERRE FALLA:* F5346083 *FECHA DE INICIO:* 1-1-2024 22:41:47 *PAÍS:* GUATEMALA *DESCRIPCIÓN DEL EVENTO:* PERD,0,0,N/B,N/B,ULTIMA MILLA,SI,"3.CABLE FO CORTADO, DAÑO O ESTIRAMIENTO DEL CABLE FO TRONCA",3.1 INSTALACION DE CABLE DE FO AOTV DE 6 FO,,
10,F5346305,F5346305-003,DATOS,ROUTER,TELGUA,02/01/2024 08:10:36,02/01/2024 12:38:32,4.47,Guatemala,CENTRAL,NUEVA SANTA ROSA UR,tmipuser,02/01/2024 08:23:39,FRONT OFFICE,WO - CCR GT,,marlon.martinez,GT | Alarma: Link Down | Descripcion: Link Down | Equipo: ONSRGTNSN1T1B03A101BM1 | Puerto: GigabitEthernet0/3/1 Interfaz Generica,CAIDA PARCIAL,DESCONFIGURADO,02/01/2024 08:04:04,02/01/2024 12:36:32,"GT | Alarma: Link Down | Descripcion: Link Down | Equipo: ONSRGTNSN1T1B03A101BM1 | Puerto: GigabitEthernet0/3/1 Interfaz Generica
Tipo de Equipo: ATN980C - Direccion IP: 10.87.2.181
Causa Probable: The link breaks when the interface changes to down.
Descripcion de Alarma (ESP): Enlace caido
Mnemonic",1,0,2,Closed,FRONT OFFICE,josep.aguilare,ACCIDENTE Y OTRAS CAUSAS,FIBRA OPTICA,closed,f,,,,02-JAN-24,FIBRA OPTICA FALLA NO.: 5346305 TAREA DE FO 5346305-001 TIPO DE FALLA: BACKBONE TRAMO DE FIBRA:  NUEVA SANTA ROSA - CASILLAS LATITUD DE CORTE DE F. O: 14.406320 LONGITUD DE CORTE DE F.O: -90.261038 RE,1,4,14.406320,-90.261038,BACKBONE,SI,"3.CABLE FO CORTADO, DAÑO O ESTIRAMIENTO DEL CABLE FO TRONCA","3.4 INSTALACION DE CABLE FO AEREO FIG 8, DE 12 A 48 FO",NUEVA SANTA ROSA-CASILLAS,
