recid,NUMERO,TAREA,CATEGORY,SUBCATEGORY,COMPANY,INICIO_FALLA,CIERRE_FALLA,TIEMPO_TOTAL,COUNTRY,TG_REGION,LOCATION_FULL_NAME,OPENED_BY,ASSIGN_DATE,ASSIGNMENT,ASSIGN_DEPT,GRUPO_ASIGNACION,ASSIGNED_TO,BRIEF_DESCRIPTION,PROBLEM_TYPE,PRODUCT_TYPE,INICIO_AFECTACION,FIN_AFECTACION,DESC_FALLA,SEVERITY,TG_CANTIDAD_DSLAM,TG_SEVERIDAD,PROBLEM_STATUS,RESOLVED_GROUP,CLOSED_BY,RESOLUTION_CODE,RES_ANAL_CODE,STATUS,TG_CLIENTEEMPRESARIAL,NOMBRE_WO,INICIO_WO,FIN_WO,CLOSE_TIME,RESOLUCION,TG_CANT_CLIENTES_AFECTADOS,TG_CANTIDAD_CELDAS,Latitud_del_corte_de_FO,Longitud_del_corte_de_FO,Tipo,Falla_de_Fibra_Óptica,Reparación_Principal_FO,Reparación_específica_FO,Tramo_de_FO,Tramo_sin_Documentar
1,F4866407,F4866407-001,TRANSMISION,DWDM,TELGUA,01/01/2023 00:02:37,01/01/2023 12:23:27,12.35,Guatemala,ORIENTE,MODESTO MENDEZ CELDA,tmipuser,01/01/2023 00:09:17,FRONT OFFICE,WO - CCR GT,WO - UFINET,marioa.hernandez,GT | Alarma: OSC_LOS | Descripcion: Loss of OSC interface input optical power | Equipo: Modesto Mendez | Puerto: 0-subrack-2-F1ST2-2(RM2/TM2 DIR CHACTE)-OSC:1 Tipo de Equipo: OptiX OSN 1800 - Direccion IP: -- Causa Probable: OSC_LOS is declared if the input power is lower than the OSC_LOS threshold. Descripcion de Alarma (ESP): Perdida de la potencia optica de entrada de la interfaz OSC Mnemonico: ILIVGTMM,CAIDA TOTAL,DWDM SIN PROTECCION,31/12/2022 23:59:21,01/01/2023 12:13:24,GT | Alarma: OSC_LOS | Descripcion: Loss of OSC interface input optical power | Equipo: Modesto Mendez | Puerto: 0-subrack-2-F1ST2-2(RM2/TM2 DIR CHACTE)-OSC:1 Tipo de Equipo: OptiX OSN 1800 - Direccion IP: -- Causa Probable: OSC_LOS is declared if the input power is lower than the OSC_LOS threshold.,1,0,2,Closed,FRONT OFFICE,joser.marroquin,MEDIO DE TX_EMPALME O FUSION DE FIBRA OPTICA,FIBRA OPTICA,closed,f,,,,01-JAN-23,"UFINET  ATIENDE FALLA NO  ESPECIFICA TRABAJO REALIZADO Y DATOS PARA CIERRE DE FALLA, MARCO PACAY VALIDA CON BO TX PABLO RODRIGUEZ ENLACE OPERATIVO  CON PARAMETROS EN NORMA",1,0,N/A,N/A,ACCESO,SI,"3.CABLE FO CORTADO, DAÑO O ESTIRAMIENTO DEL CABLE FO TRONCA","3.4 INSTALACION DE CABLE FO AEREO FIG 8, DE 12 A 48 FO",,
2,F4866413,F4866413-001,DATOS,ROUTER,TELGUA,01/01/2023 00:10:17,01/01/2023 19:48:10,19.63,Guatemala,OCCIDENTE,SAN MARCOS UR,tmipuser,01/01/2023 00:28:41,GT - F.O MOVIL,WO - CCR GT,WO - UFINET,marioa.hernandez,GT | Alarma: Physical Port Down | Descripcion: The physical port is Down | Equipo: NSMAGTSMN1C1B06B02EIM1 | Puerto: GigabitEthernet5/0/1 Interfaz Generica,CAIDA TOTAL,DESCONFIGURADO,01/01/2023 00:02:11,01/01/2023 19:48:08,"GT | Alarma: Physical Port Down | Descripcion: The physical port is Down | Equipo: NSMAGTSMN1C1B06B02EIM1 | Puerto: GigabitEthernet5/0/1 Interfaz Generica
Tipo de Equipo: NE40E(V8) - Direccion IP: 10.179.28.34
Causa Probable: The physical port is Down
Descripcion de Alarma (ESP): Puerto fisico caido",1,0,2,Closed,GT - F.O MOVIL,julio.barrera,ACCIDENTE Y OTRAS CAUSAS,FIBRA OPTICA,closed,f,,,,01-JAN-23,"01/01/2023 06:44 PM SE LES INFORMA QUE SE FINALIZA LABORES DESDE LAS 6:43 PM, FAVOR DE VALIDAR SERVICIO CAUSA: FIBRA DAÑADA POR ARMA DE FUEGO SOLUCION: CORRER RESERVA, REALIZAR CAPADURA PARA INSTALAR",0,45,no se tiene datos,no se tiene datos,ACCESO,SI,1.DAÑO / ROBO DE MUFA O CIERRE FO / FAT /HUB BOX / NAP,1.1 CAMBIO E INSTALACION DE MUFA O CIERRE OPTICO/FAT/NAP/HUB,,
3,F4866465,F4866465-001,DATOS,ROUTER,TELGUA,01/01/2023 02:46:08,01/01/2023 14:44:16,11.97,Guatemala,OCCIDENTE,MEDIA LUNA CELDA,tmipuser,01/01/2023 09:32:03,FRONT OFFICE,WO - CCR GT,WO - UFINET,walfred.rubi,GT | Alarma: Physical Port Down | Descripcion: Physical Port Down(Entity) | Equipo: KCUNGTMLN1T1A01A32ENM1 | Puerto: GigabitEthernet0/2/1 Interfaz Generica,CAIDA TOTAL,DESCONFIGURADO,01/01/2023 02:29:36,01/01/2023 14:40:57,"GT | Alarma: Physical Port Down | Descripcion: Physical Port Down(Entity) | Equipo: KCUNGTMLN1T1A01A32ENM1 | Puerto: GigabitEthernet0/2/1 Interfaz Generica
Tipo de Equipo: ATN910C - Direccion IP: 10.87.5.178
Causa Probable: The physical interface was Down.
Descripcion de Alarma (ESP): Puerto fisico",1,0,2,Closed,FRONT OFFICE,joser.marroquin,MEDIO DE TX_EMPALME O FUSION DE FIBRA OPTICA,FIBRA OPTICA,closed,f,,,,01-JAN-23,MELVIN NATARENO INDICA QUE SE VALIDA CON ELDER SANTOS DE BO IP QUIEN VE RESTABLECIDO  TRABAJO REALIOZADO UFINET REALIZA FUCION DE FIBRA  UFINET NO BRINDA DATOS COMPLETOS PARA AGERGAR AL CIERRE DE FALL,1,0,N/A,N/A,ACCESO,SI,"3.CABLE FO CORTADO, DAÑO O ESTIRAMIENTO DEL CABLE FO TRONCA",3.2 INSTALACION DE CABLE DE FO DUCTO DE 12 HASTA 72 FO,,
4,F4866489,,TRANSMISION,DWDM,TELGUA,01/01/2023 03:44:23,01/01/2023 06:54:45,3.17,Guatemala,ORIENTE,POPTUN UR,tmipuser,01/01/2023 04:08:00,FRONT OFFICE,WO - CCR GT,,marioa.hernandez,GT | Alarma: R_LOS | Descripcion: Loss of signal | Equipo: GT_Poptun | Puerto: 0-subrack-4-U5N401-1(IN1/OUT1)-OCH:1 Tipo de Equipo: OptiX OSN 9800 U16 - Direccion IP: 10.179.4.227 Causa Probable: (1)The fiber jumper is not connected at the optical interface of the board Descripcion de Alarma (ESP): Perdida de senal Mnemonico: PPOPGTPO,CAIDA TOTAL,DWDM SIN PROTECCION,01/01/2023 03:24:17,01/01/2023 06:54:44,GT | Alarma: R_LOS | Descripcion: Loss of signal | Equipo: GT_Poptun | Puerto: 0-subrack-4-U5N401-1(IN1/OUT1)-OCH:1 Tipo de Equipo: OptiX OSN 9800 U16 - Direccion IP: 10.179.4.227 Causa Probable: (1)The fiber jumper is not connected at the optical interface of the board Descripcion de Alarma (ESP):,1,0,2,Closed,FRONT OFFICE,bernie.cubur,REPOSICION DE TRAMO DE FIBRA OPTICA POR ROBO,FIBRA OPTICA,closed,f,,,,01-JAN-23,INFORMA MARCO PACAY QUE PERSONAL DE UFINET TRABAJO EN FALLA Y FINALIZO TRABAJO EN FALLA POR LO QUE SOLICITA EL CIERRE NO BRINDAN DATOS DE CIERRE,1,0,.,.,ULTIMA MILLA,SI,1.DAÑO / ROBO DE MUFA O CIERRE FO / FAT /HUB BOX / NAP,1.1 CAMBIO E INSTALACION DE MUFA O CIERRE OPTICO/FAT/NAP/HUB,SEMOX-MODESTO MENDEZ,
5,F4866542,F4866542-002,TRANSMISION,DWDM,TELGUA,01/01/2023 07:06:19,01/01/2023 15:31:41,8.42,Guatemala,ORIENTE,SALAMA UR,tmipuser,01/01/2023 08:32:53,FRONT OFFICE,WO - CCR GT,WO - UFINET,walfred.rubi,GT | Alarma: OSC_LOS | Descripcion: Loss of OSC interface input optical power | Equipo: GT_Salama | Puerto: 0-Guastatoya/Coban-6-11AST2-2(RM2/TM2 Dir Coban)-OSC:1 Tipo de Equipo: OptiX OSN 9800 - Direccion IP: 10.210.5.18 Causa Probable: OSC_LOS is declared if the input power is lower than the OSC_LOS threshold. Descripcion de Alarma (ESP): Perdida de la potencia optica de entrada de la interfaz OSC Mnemonico: BSALGTSA,CAIDA TOTAL,DWDM SIN PROTECCION,01/01/2023 06:52:11,01/01/2023 15:14:41,GT | Alarma: OSC_LOS | Descripcion: Loss of OSC interface input optical power | Equipo: GT_Salama | Puerto: 0-Guastatoya/Coban-6-11AST2-2(RM2/TM2 Dir Coban)-OSC:1 Tipo de Equipo: OptiX OSN 9800 - Direccion IP: 10.210.5.18 Causa Probable: OSC_LOS is declared if the input power is lower than the OSC_L,1,0,2,Closed,FRONT OFFICE,joser.marroquin,MEDIO DE TX_EMPALME O FUSION DE FIBRA OPTICA,FIBRA OPTICA,closed,f,,,,01-JAN-23,"UFINET INFORMA TRABAJO CONCLUIDO  COMENTAN , SE FINALIZO LABORES DESDE LAS 14:30 GMT-6 CAUSA: MORDEDURA DE ROEDOR SOLUCION: SE CORRIÓ 100 MTS DE RESERVA SE INSTALA UNA MUFA NUEVA EDER GARZONA VALIDA E",0,1,N/A,N/A,BACKBONE,SI,"3.CABLE FO CORTADO, DAÑO O ESTIRAMIENTO DEL CABLE FO TRONCA",3.3 INSTALACION DE CABLE DE FO DUCTO DE 96 HASTA 144 FO,,
6,F4867009,F4867009-002,DATOS,SWITCH,TELGUA,01/01/2023 20:56:01,02/01/2023 06:21:36,9.43,Guatemala,OCCIDENTE,NEBAJ SHELTER,bernie.cubur,01/01/2023 21:13:16,GT - F.O MOVIL,WO - CCR GT,WO - UFINET,thomas.peliz,GUATEMALA || KNEBGTNEN1T1A02A32ENM2 || =INTERFACEDOWN || GIGABITETHERNET0/2/3 || DOWN ||  ||  || NEB,CAIDA TOTAL,PUERTO FUERA DE SERVICIO,01/01/2023 20:55:59,02/01/2023 06:21:35,"GUATEMALA || KNEBGTNEN1T1A02A32ENM2 || =INTERFACEDOWN || GIGABITETHERNET0/2/3 || DOWN ||  ||  || NEBAJ SHELTER || 10.87.5.138

INTERFACE DOWN, OMKSTATE DOWN
           ::::RAW DATA::::
            OMKID = 63B1AADBB423595EE72A1503
            OMKTIME = 1672587904
            OMKDATE =
            OMK",1,0,2,Closed,GT - F.O MOVIL,julio.barrera,MEDIO DE TX_EMPALME O FUSION DE FIBRA OPTICA,FIBRA OPTICA,closed,f,,,,02-JAN-23,INFORMA MELVIN NATARENO QUE SE VALIDA SERVICIO CON DANY MARROQUIN DE BO IP CONFIRMANDO TODO OK. COMENTA QUE POR PARTE DE UFINET REALIZARON UNA FUSION DE PATCHORD EN LA CELDA 3345_CHIUL.  SE PROCEDE CO,1,0,.,.,ACCESO,SI,2.HILOS FO ROTOS/ MAL ACOMODO DE HILOS EN BANDEJAS / TUBOS H,2.1 INTERVENCION A MUFA O CIERRE FO/NAP/HUB BOX EXISTENTE EN,,
7,F4867334,F4867334-001,TRANSMISION,RADIOS SDH,TELGUA,02/01/2023 10:17:22,02/01/2023 18:50:34,8.55,Guatemala,ORIENTE,EL PARAISO CHISEC CELDA,tmipuser,02/01/2023 10:25:12,GT - F.O MOVIL,WO - CCR GT,WO - CLAROFIBRAOPTICA,rodriguez.brayan,"GT | Alarma: ETH_LOS | Descripcion: Loss of network port connection | Equipo: VCHIGTPCN1W1S2N0 | Puerto: 7-EG6-5(Pto5 IDU HUAWEI CRUCE_A_LACHUA)-MAC:1 Tipo de Equipo: OptiX RTN 905 - Direccion IP: 10.86.25.162 Causa Probable: (1)The port is enabled, but the network cable or fiber of the network port is improperly connected Descripcion de Alarma (ESP): Descripcion en Espanol NO proporcionada. Mnemonico:",CAIDA TOTAL,RADIOS DIGITALES SIN PROTECCION,02/01/2023 10:03:28,02/01/2023 17:51:28,"GT | Alarma: ETH_LOS | Descripcion: Loss of network port connection | Equipo: VCHIGTPCN1W1S2N0 | Puerto: 7-EG6-5(Pto5 IDU HUAWEI CRUCE_A_LACHUA)-MAC:1 Tipo de Equipo: OptiX RTN 905 - Direccion IP: 10.86.25.162 Causa Probable: (1)The port is enabled, but the network cable or fiber of the network port",1,0,2,Closed,GT - F.O MOVIL,diego.taguite,REPOSICION DE TRAMO DE FIBRA OPTICA POR ROBO,FIBRA OPTICA,closed,f,,,,02-JAN-23,"DIETER LEAL INDICA QUE SE PUSO UN TRAMO DE 25 METROS Y SE REALIZARON 12 FUSIONES TRABAJO ARTEMIO FABIAN, ESVIN CAAL  Y DIETER LEAL VALIDA EDIN LEM QUE ESTABA OPERATIVO EL SITIO, COORDENADAS ES LATITUD",1,0,15.968199,-90.2915933,ULTIMA MILLA,SI,2.HILOS FO ROTOS/ MAL ACOMODO DE HILOS EN BANDEJAS / TUBOS H,2.1 INTERVENCION A MUFA O CIERRE FO/NAP/HUB BOX EXISTENTE EN,,
8,F4867426,F4867426-001,DATOS,SWITCH,TELGUA,02/01/2023 11:41:08,02/01/2023 18:39:02,6.97,Guatemala,CENTRAL,NANCINTA CELDA,tmipuser,02/01/2023 11:54:56,GT - F.O MOVIL,WO - CCR GT,WO - CLAROFIBRAOPTICA,estefany.roldan,Guatemala || OCHIGTNAN1T1A01A30YOM1 || =SNMPDown ||  || down ||  ||  || NANCINTA CELDA || 10.87.2.125,CAIDA PARCIAL,PUERTO FUERA DE SERVICIO,02/01/2023 11:35:32,02/01/2023 14:17:54,"Guatemala || OCHIGTNAN1T1A01A30YOM1 || =SNMPDown ||  || down ||  ||  || NANCINTA CELDA || 10.87.2.125

No response from remote host """"10.87.2.125"""", omkState down
           ::::RAW DATA::::
            omkId = 63b31640b4235913da7694e1
            omkTime = 1672680932
            omkDate =",1,0,2,Closed,GT - F.O MOVIL,diego.taguite,MEDIO DE TX_EMPALME O FUSION DE FIBRA OPTICA,FIBRA OPTICA,closed,f,,,,02-JAN-23,PERSONAL DE FIBRA ASIGNADO SOLICITA CIERRE DE FALLA INDICAN QUE SE UBICÓ DAÑO POR SABOTAJE EN MUFA SE CORRIO UNA RESERVA DE 1 POSTE Y SE HIZO 1 EMPALME DE 12 FUSIONES TRABAJAMOS EN EL PUNTO  POR PARTE,1,8,14.067721,-90.380683,ACCESO,SI,1.DAÑO / ROBO DE MUFA O CIERRE FO / FAT /HUB BOX / NAP,1.1 CAMBIO E INSTALACION DE MUFA O CIERRE OPTICO/FAT/NAP/HUB,CENTRAL CHIQUIMULILLA-CRUCE CERRITOS,
9,F4867708,,DATOS,ROUTER,TELGUA,02/01/2023 15:47:17,02/01/2023 21:14:48,5.46,Guatemala,CENTRAL,FINCA LA LABOR CELDA,tmipuser,02/01/2023 16:07:01,FRONT OFFICE,WO - CCR GT,,marlon.martinez,GT | Alarma: The Device is offline | Descripcion: Device discontinuity | Equipo: ASLMGTFLN1W1A01AA1YOM1 (FINCA LA LABOR) 2345 | Puerto:  Interfaz Generica,RENDIMIENTO,DESCONFIGURADO,02/01/2023 15:41:37,02/01/2023 21:14:44,"GT | Alarma: The Device is offline | Descripcion: Device discontinuity | Equipo: ASLMGTFLN1W1A01AA1YOM1 (FINCA LA LABOR) 2345 | Puerto:  Interfaz Generica
Tipo de Equipo: ATN905 - Direccion IP: 10.105.133.22
Causa Probable: 1.The device is offline. 2.The NMS server cannot be connected to the device",1,0,3,Closed,FRONT OFFICE,bernie.cubur,ACCIDENTE Y OTRAS CAUSAS,FIBRA OPTICA,closed,f,,,,02-JAN-23,COMENTARIO GENERAL DE CIERRE: SE UBICÓ CORTE DE FO  SE CORRE  RESERVA DE  3 POSTES SE REALIZAN   UN EMPALME DE 12 FUCIONES  SE UTILIZA 1 MUFA 3M TRABAJAMOS EN EL PUNTO  POR PARTE DE F.O  FREDY  PIXOLA,0,0,14.583170,-90.660773,BACKBONE,SI,1.DAÑO / ROBO DE MUFA O CIERRE FO / FAT /HUB BOX / NAP,1.1 CAMBIO E INSTALACION DE MUFA O CIERRE OPTICO/FAT/NAP/HUB,SAN LUCAS SACATEPEQUEZ-FINCA LA LABOR,
10,F4867785,,DATOS,ROUTER,TELGUA,02/01/2023 17:40:18,03/01/2023 01:58:23,8.3,Guatemala,METROPOLITANA,SAN JUAN SACATEPEQUEZ UR,tmipuser,02/01/2023 17:44:04,FRONT OFFICE,WO - CCR GT,,estefany.roldan,GT | Alarma: Link Down | Descripcion: Link Down | Equipo: GSJSGTSJN2D1A01A151BM1 | Puerto: GigabitEthernet0/3/4 Interfaz Generica,RENDIMIENTO,DESCONFIGURADO,02/01/2023 17:40:18,03/01/2023 01:58:06,"GT | Alarma: Link Down | Descripcion: Link Down | Equipo: GSJSGTSJN2D1A01A151BM1 | Puerto: GigabitEthernet0/3/4 Interfaz Generica
Tipo de Equipo: ATN980C - Direccion IP: 10.174.171.72
Causa Probable: The link breaks when the interface changes to down.
Descripcion de Alarma (ESP): Enlace caido
Mnemon",1,0,3,Closed,FRONT OFFICE,bernie.cubur,ACCIDENTE Y OTRAS CAUSAS,FIBRA OPTICA,closed,f,,,,03-JAN-23,LESTER  ALARCON   Y ARTURO  IZAGUIRRE INDICAN QUE  SE INSTALARON  150 METROS DE  48 HILOS   2 MUFAS FOX 450 Y  SE  REALIZARON 24 FUSIONES  EL CORTE SE  DEBIO A  CONSTRUCCION DE  CASA   CAMPO  NUMERO 5,0,0,14.729468,-90.658512,BACKBONE,SI,1.DAÑO / ROBO DE MUFA O CIERRE FO / FAT /HUB BOX / NAP,1.2 CAMBIO E INSTALACION DE MUFA O CIERRE OPTICO/HUB BOX DE,WG3713G1900,
